time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.000000,-1.803127,-1.803127,-1.336798,-1.515521,-3.069970,-1.803127
0.007812,-1.827241,-1.827241,-1.385015,-1.546719,-2.389765,-1.827241
0.015625,-1.803407,-1.803407,-1.355246,-1.515645,-2.718406,-1.803407
0.023438,-1.829472,-1.829472,-1.381369,-1.547322,-2.570873,-1.829472
0.031250,-1.801917,-1.801917,-1.357235,-1.515200,-2.762539,-1.801917
0.039062,-1.831165,-1.831165,-1.380045,-1.547641,-2.657837,-1.831165
0.046875,-1.800789,-1.800789,-1.358202,-1.514963,-2.803577,-1.800789
0.054688,-1.832528,-1.832528,-1.379279,-1.547826,-2.718279,-1.832528
0.062500,-1.799938,-1.799938,-1.358806,-1.514810,-2.838468,-1.799938
0.070312,-1.833645,-1.833645,-1.378761,-1.547960,-2.764309,-1.833645
0.078125,-1.799285,-1.799285,-1.359229,-1.514690,-2.867306,-1.799285
0.085938,-1.834575,-1.834575,-1.378386,-1.548072,-2.800359,-1.834575
0.093750,-1.798772,-1.798772,-1.359547,-1.514583,-2.890761,-1.798772
0.101562,-1.835363,-1.835363,-1.378099,-1.548176,-2.828916,-1.835363
0.109375,-1.798362,-1.798362,-1.359794,-1.514480,-2.909639,-1.798362
0.117188,-1.836042,-1.836042,-1.377879,-1.548277,-2.851667,-1.836042
0.125000,-1.798030,-1.798030,-1.359988,-1.514379,-2.924736,-1.798030
0.132812,-1.836632,-1.836632,-1.377702,-1.548379,-2.869862,-1.836632
0.140625,-1.797755,-1.797755,-1.360145,-1.514276,-2.936745,-1.797755
0.148438,-1.837152,-1.837152,-1.377560,-1.548484,-2.884454,-1.837152
0.156250,-1.797526,-1.797526,-1.360275,-1.514169,-2.946262,-1.797526
0.164062,-1.837615,-1.837615,-1.377443,-1.548591,-2.896190,-1.837615
0.171875,-1.797335,-1.797335,-1.360380,-1.514062,-2.953773,-1.797335
0.179688,-1.838032,-1.838032,-1.377350,-1.548699,-2.905647,-1.838032
